"扫描序号","扫描仪号","批次号","kh","xz1","xz2","xz3","xz4","xz5","xz6","xz7","xz8","xz9","xz10","xz11","xz12","xz13","xz14","xz15","xz16","xz17","xz18","xz19","xz20","xz21","xz22","xz23","xz24","xz25","xz26","xz27","xz28","xz29","xz30","xz31","xz32","xz33","xz34","xz35","xz36","xz37","xz38","xz39","xz40","p1"
000223,1,1048792,"200093","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","C","C","A","C","D","B","A","A","B","D","C","A","C","C","B","B","C","C","D","C","\C_IMAGES\200093_00_1_p1.TIF"
000222,1,1048792,"200095","A","D","D","D","C","C","B","D","C","C","A","C","C","B","D","C","D","C","B","B","A","C","A","B","D","B","D","B","B","D","A","C","C","D","B","B","C","C","D","C","\C_IMAGES\200095_00_1_p1.TIF"
000169,1,1048743,"200096","A","A","C","D","C","C","B","D","C","C","A","C","C","B","B","A","D","C","B","B","C","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","A","\C_IMAGES\200096_00_1_p1.TIF"
000168,1,1048743,"200098","A","A","C","D","C","C","B","D","C","C","A","C","C","B","B","A","D","C","B","B","A","C","A","C","D","B","A","A","A","D","D","A","C","C","B","B","C","C","C","C","\C_IMAGES\200098_00_1_p1.TIF"
000167,1,1048743,"200099","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","D","C","B","B","A","C","A","C","D","B","A","A","B","D","D","A","C","D","B","B","A","C","C","C","\C_IMAGES\200099_00_1_p1.TIF"
000253,1,1048792,"200100","A","C","C","D","A","B","B","A","C","C","D","C","C","B","D","A","D","C","B","B","C","C","A","C","D","B","C","A","A","D","B","A","C","B","C","B","B","B","D","C","\C_IMAGES\200100_00_1_p1.TIF"
000252,1,1048792,"200103","A","D","A","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","A","A","B","D","C","A","C","A","D","B","D","C","D","C","\C_IMAGES\200103_00_1_p1.TIF"
000251,1,1048792,"200104","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","B","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","D","C","D","C","\C_IMAGES\200104_00_1_p1.TIF"
000250,1,1048792,"200108","C","A","C","D","C","C","B","D","C","C","D","C","A","B","D","C","D","A","B","B","A","C","A","B","D","B","C","D","B","B","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200108_00_1_p1.TIF"
000249,1,1048792,"200109","A","A","C","D","C","C","B","D","C","B","A","C","C","B","D","C","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","B","D","D","C","\C_IMAGES\200109_00_1_p1.TIF"
000243,1,1048792,"200110","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","A","C","D","C","\C_IMAGES\200110_00_1_p1.TIF"
000248,1,1048792,"200116","A","A","C","A","A","C","B","D","C","C","A","C","C","D","D","C","D","C","B","B","B","C","A","D","D","B","A","A","B","D","B","A","A","D","B","C","C","A","D","C","\C_IMAGES\200116_00_1_p1.TIF"
000247,1,1048792,"200118","A","A","C","A","D","B","B","C","C","C","B","C","C","B","D","C","D","B","B","B","C","C","A","D","D","B","B","A","B","D","B","A","C","D","C","B","C","D","A","C","\C_IMAGES\200118_00_1_p1.TIF"
000246,1,1048792,"200119","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","B","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","D","C","D","C","\C_IMAGES\200119_00_1_p1.TIF"
000245,1,1048792,"200123","A","A","C","D","C","C","B","D","C","C","C","C","C","A","D","A","D","C","B","B","C","C","A","C","D","C","B","A","B","D","B","A","C","D","D","B","C","C","D","C","\C_IMAGES\200123_00_1_p1.TIF"
000244,1,1048792,"200124","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","C","D","C","B","B","A","C","A","A","D","B","","A","B","D","A","A","C","D","D","C","D","A","D","C","\C_IMAGES\200124_00_1_p1.TIF"
000242,1,1048792,"200125","A","A","A","A","D","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","C","A","B","D","D","A","C","C","B","B","D","C","D","C","\C_IMAGES\200125_00_1_p1.TIF"
000241,1,1048792,"200128","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","C","D","A","B","B","D","C","A","A","D","B","A","A","B","D","B","A","C","B","B","B","C","C","B","D","\C_IMAGES\200128_00_1_p1.TIF"
000240,1,1048792,"200133","A","A","A","D","C","C","B","D","C","C","C","B","C","B","D","A","D","C","B","B","A","C","A","C","D","B","C","A","D","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200133_00_1_p1.TIF"
000239,1,1048792,"200135","A","A","C","A","C","B","B","D","C","C","D","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","C","A","A","D","B","A","C","C","B","B","B","C","D","C","\C_IMAGES\200135_00_1_p1.TIF"
000238,1,1048792,"200139","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","D","C","D","C","\C_IMAGES\200139_00_1_p1.TIF"
000237,1,1048792,"200141","A","A","A","A","C","C","B","D","C","B","C","","C","C","D","C","D","C","B","B","B","C","A","B","D","B","B","A","B","C","B","A","C","B","B","C","C","A","B","C","\C_IMAGES\200141_00_1_p1.TIF"
000236,1,1048792,"200143","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","C","D","C","B","D","B","C","A","C","D","B","D","D","B","D","B","B","C","C","B","B","D","C","D","B","\C_IMAGES\200143_00_1_p1.TIF"
000229,1,1048792,"200145","A","A","A","A","D","B","C","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","C","A","B","D","D","A","C","C","B","B","D","C","D","C","\C_IMAGES\200145_00_1_p1.TIF"
000230,1,1048792,"200147","A","B","C","D","C","B","B","D","C","C","D","B","C","B","D","A","A","C","B","B","B","C","A","C","D","D","B","A","A","A","C","A","C","C","B","B","C","C","D","C","\C_IMAGES\200147_00_1_p1.TIF"
000231,1,1048792,"200165","A","B","C","D","C","B","B","D","C","C","D","C","C","B","D","A","A","C","B","B","B","C","A","C","D","B","A","A","A","D","C","A","C","C","B","B","C","C","D","C","\C_IMAGES\200165_00_1_p1.TIF"
000232,1,1048792,"200166","A","A","A","D","C","B","B","D","C","C","B","C","C","B","D","A","A","C","B","B","C","C","A","A","D","B","C","A","A","D","C","C","C","C","B","B","C","C","D","C","\C_IMAGES\200166_00_1_p1.TIF"
